cdp,cdpx,cdpy
486,119.870868125,22.65731325
487,119.8708925,22.657297
488,119.870916875,22.65728075
489,119.87094125,22.6572645
490,119.870965625,22.65724825
491,119.87099,22.657232
492,119.87101225,22.657213625
493,119.8710345,22.65719525
494,119.87105675,22.657176875
495,119.871079,22.6571585
496,119.87110125,22.657140125
497,119.8711235,22.65712175
498,119.87114575,22.657103375
499,119.871168,22.657085
500,119.871189875,22.65706775
501,119.87121175,22.6570505
502,119.871233625,22.65703325
503,119.8712555,22.657016
504,119.871277375,22.65699875
505,119.87129925,22.6569815
506,119.871321125,22.65696425
507,119.871343,22.656947
508,119.871365375,22.656932375
509,119.87138775,22.65691775
510,119.871410125,22.656903125
511,119.8714325,22.6568885
512,119.871454875,22.656873875
513,119.87147725,22.65685925
514,119.871499625,22.656844625
515,119.871522,22.65683
516,119.871545125,22.656814625
517,119.87156825,22.65679925
518,119.871591375,22.656783875
519,119.8716145,22.6567685
520,119.871637625,22.656753125
521,119.87166075,22.65673775
522,119.871683875,22.656722375
523,119.871707,22.656707
524,119.87172925,22.6566895
525,119.8717515,22.656672
526,119.87177375,22.6566545
527,119.871796,22.656637
528,119.87181825,22.6566195
529,119.8718405,22.656602
530,119.87186275,22.6565845
531,119.871885,22.656567
532,119.8719065,22.656552
533,119.871928,22.656537
534,119.8719495,22.656522
535,119.871971,22.656507
536,119.8719925,22.656492
537,119.872014,22.656477
538,119.8720355,22.656462
539,119.872057,22.656447
540,119.872078875,22.656428875
541,119.87210075,22.65641075
542,119.872122625,22.656392625
543,119.8721445,22.6563745
544,119.872166375,22.656356375
545,119.87218825,22.65633825
546,119.872210125,22.656320125
547,119.872232,22.656302
548,119.872254875,22.6562845
549,119.87227775,22.656267
550,119.872300625,22.6562495
551,119.8723235,22.656232
552,119.872346375,22.6562145
553,119.87236925,22.656197
554,119.872392125,22.6561795
555,119.872415,22.656162
556,119.872439125,22.656144
557,119.87246325,22.656126
558,119.872487375,22.656108
559,119.8725115,22.65609
560,119.872535625,22.656072
561,119.87255975,22.656054
562,119.872583875,22.656036
563,119.872608,22.656018
564,119.872631625,22.656002375
565,119.87265525,22.65598675
566,119.872678875,22.655971125
567,119.8727025,22.6559555
568,119.872726125,22.655939875
569,119.87274975,22.65592425
570,119.872773375,22.655908625
571,119.872797,22.655893
572,119.872819875,22.655875375
573,119.87284275,22.65585775
574,119.872865625,22.655840125
575,119.8728885,22.6558225
576,119.872911375,22.655804875
577,119.87293425,22.65578725
578,119.872957125,22.655769625
579,119.87298,22.655752
580,119.873005625,22.6557355
581,119.87303125,22.655719
582,119.873056875,22.6557025
583,119.8730825,22.655686
584,119.873108125,22.6556695
585,119.87313375,22.655653
586,119.873159375,22.6556365
587,119.873185,22.65562
588,119.87320875,22.65560275
589,119.8732325,22.6555855
590,119.87325625,22.65556825
591,119.87328,22.655551
592,119.87330375,22.65553375
593,119.8733275,22.6555165
594,119.87335125,22.65549925
595,119.873375,22.655482
596,119.87339775,22.655465125
597,119.8734205,22.65544825
598,119.87344325,22.655431375
599,119.873466,22.6554145
600,119.87348875,22.655397625
601,119.8735115,22.65538075
602,119.87353425,22.655363875
603,119.873557,22.655347
604,119.873579875,22.655332375
605,119.87360275,22.65531775
606,119.873625625,22.655303125
607,119.8736485,22.6552885
608,119.873671375,22.655273875
609,119.87369425,22.65525925
610,119.873717125,22.655244625
611,119.87374,22.65523
612,119.8737635,22.655215
613,119.873787,22.6552
614,119.8738105,22.655185
615,119.873834,22.65517
616,119.8738575,22.655155
617,119.873881,22.65514
618,119.8739045,22.655125
619,119.873928,22.65511
620,119.87395225,22.655091
621,119.8739765,22.655072
622,119.87400075,22.655053
623,119.874025,22.655034
624,119.87404925,22.655015
625,119.8740735,22.654996
626,119.87409775,22.654977
627,119.874122,22.654958
628,119.8741445,22.654941625
629,119.874167,22.65492525
630,119.8741895,22.654908875
631,119.874212,22.6548925
632,119.8742345,22.654876125
633,119.874257,22.65485975
634,119.8742795,22.654843375
635,119.874302,22.654827
636,119.874324,22.654809875
637,119.874346,22.65479275
638,119.874368,22.654775625
639,119.87439,22.6547585
640,119.874412,22.654741375
641,119.874434,22.65472425
642,119.874456,22.654707125
643,119.874478,22.65469
644,119.87450175,22.65467
645,119.8745255,22.65465
646,119.87454925,22.65463
647,119.874573,22.65461
648,119.87459675,22.65459
649,119.8746205,22.65457
650,119.87464425,22.65455
651,119.874668,22.65453
652,119.874691125,22.654512875
653,119.87471425,22.65449575
654,119.874737375,22.654478625
655,119.8747605,22.6544615
656,119.874783625,22.654444375
657,119.87480675,22.65442725
658,119.874829875,22.654410125
659,119.874853,22.654393
660,119.874875375,22.654374875
661,119.87489775,22.65435675
662,119.874920125,22.654338625
663,119.8749425,22.6543205
664,119.874964875,22.654302375
665,119.87498725,22.65428425
666,119.875009625,22.654266125
667,119.875032,22.654248
668,119.87505575,22.654231125
669,119.8750795,22.65421425
